id,keyword,phonetic_code
1,urgent-mercenary contract,U6253
2,sabotage operation,S1321
3,urgent-high-speed chase,U6253
4,hostage rescue,H2326
5,high-stakes pursuit,H2232
6,assassination attempt,A2253
7,tense-high-speed chase,T5222
8,aggressive-hand-to-hand combat,A2621
9,aerial dogfight,A6432
10,hand-to-hand combat,H5353
11,tense-mercenary contract,T5256
12,undercover operative,U5362
13,gritty-tactical infiltration,G6332
14,urgent-explosive demolition,U6253
15,firefight,F6123
16,tense-hand-to-hand combat,T5253
17,urgent-undercover operative,U6253
18,aggressive-mercenary contract,A2621
19,stunt choreography,S3532
20,tense-tactical infiltration,T5232
21,gritty-undercover operative,G6353
22,tense-explosive demolition,T5221
23,aggressive-high-speed chase,A2621
24,urgent-tactical infiltration,U6253
25,covert extraction,C1632
26,combat training,C5136
27,gritty-mercenary contract,G6356
28,gritty-explosive demolition,G6321
29,high-speed chase,H2213
30,ballistic weaponry,B4232
31,bounty hunter,B5353
32,gritty-high-speed chase,G6322
33,espionage mission,E2152
34,aggressive-explosive demolition,A2621
35,gritty-hand-to-hand combat,G6353
36,explosive demolition,E2142
37,urgent-hand-to-hand combat,U6253
38,aggressive-tactical infiltration,A2621
39,mercenary contract,M6256
40,tense-undercover operative,T5253
41,urban warfare,U6156
42,armored vehicle,A6563
43,private military,P6135
44,counter-terrorism,C5363
45,vigilante justice,V2453
46,tactical infiltration,T2324
47,heist sequence,H2322
48,aggressive-undercover operative,A2621
49,survival trek,S6114
50,archaeological dig,A6242
51,adventurous-lost civilization,A3153
52,grand-lost civilization,G6534
53,hidden treasure,H3536
54,wondrous-mythological quest,W5362
55,wondrous-uncharted territory,W5362
56,remote outpost,R5331
57,wondrous-expedition team,W5362
58,wondrous-treacherous terrain,W5362
59,mountain ascent,M5352
60,jungle traversal,J5243
61,ancient artifact,A5253
62,forbidden temple,F6135
63,wilderness navigation,W4365
64,uncharted territory,U5263
65,adventurous-expedition team,A3153
66,adventurous-uncharted territory,A3153
67,grand-uncharted territory,G6535
68,inspirational-uncharted territory,I5216
69,nomadic lifestyle,N5324
70,expedition team,E2133
71,relic hunting,R4253
72,frontier exploration,F6536
73,ancient prophecy,A5253
74,grand-expedition team,G6532
75,adventurous-ancient artifact,A3153
76,nomadic tribe,N5323
77,treacherous terrain,T6262
78,inspirational-lost civilization,I5216
79,grand-treacherous terrain,G6536
80,lost civilization,L2321
81,mythological quest,M3422
82,inspirational-ancient artifact,I5216
83,inspirational-expedition team,I5216
84,adventurous-treacherous terrain,A3153
85,mysterious map,M2362
86,discovery mission,D2165
87,wondrous-ancient artifact,W5362
88,grand-mythological quest,G6535
89,wondrous-lost civilization,W5362
90,grand-ancient artifact,G6535
91,adventurous-mythological quest,A3153
92,inspirational-treacherous terrain,I5216
93,inspirational-mythological quest,I5216
94,natural disaster survival,N3643
95,cross-continental journey,C6253
96,sea voyage,S12
97,charming-CGI-rendered,C6552
98,world-building,W6431
99,magical-motion-capture,M2245
100,fluid-dynamics,F4355
101,anthropomorphic-creatures,A5361
102,magical-character-rigging,M2242
103,vivid-CGI-rendered,V1326
104,vivid-stop-motion,V1323
105,stylized-aesthetic,S3423
106,playful-character-rigging,P4142
107,storyboard-driven,S3616
108,motion-capture,M3521
109,non-photorealistic,N5136
110,playful-hand-drawn,P4145
111,charming-motion-capture,C6552
112,compositing,C5123
113,stop-motion,S3153
114,charming-cel-shaded,C6552
115,digital-painting,D2341
116,keyframe-animation,K1655
117,surreal-environment,S6451
118,playful-CGI-rendered,P4142
119,vivid-hand-drawn,V1353
120,playful-cel-shaded,P4142
121,charming-stop-motion,C6552
122,frame-by-frame,F6511
123,magical-hand-drawn,M2245
124,playful-motion-capture,P4145
125,vivid-cel-shaded,V1324
126,playful-stop-motion,P4142
127,3D-modeling,D5345
128,magical-cel-shaded,M2242
129,visual-effects-heavy,V2412
130,particle-simulation,P6324
131,magical-stop-motion,M2242
132,character-design,C6236
133,lighting-pass,L2352
134,magical-CGI-rendered,M2242
135,vivid-motion-capture,V1353
136,vector-graphics,V2362
137,CGI-rendered,C6536
138,charming-character-rigging,C6552
139,texture-mapping,T2365
140,hand-drawn,H5365
141,vivid-character-rigging,V1326
142,charming-hand-drawn,C6552
143,character-rigging,C6236
144,cel-shaded,C4233
145,earnest-autobiographical-narrative,E6523
146,archival-footage,A6214
147,private-life,P6134
148,reflective-autobiographical-narrative,R1423
149,serious-archival-footage,S6262
150,artistic-evolution,A6323
151,public-scandal,P1425
152,serious-personal-correspondence,S6216
153,serious-historical-figure,S6223
154,legacy-impact,L2251
155,somber-first-hand-account,S5161
156,professional-milestone,P6125
157,somber-personal-correspondence,S5161
158,historical-context,H2362
159,somber-career-retrospective,S5162
160,biographical-drama,B2612
161,political-activism,P4324
162,career-retrospective,C6636
163,serious-career-retrospective,S6266
164,somber-archival-footage,S5166
165,untold-story,U5343
166,cultural-icon,C4364
167,reflective-career-retrospective,R1423
168,autobiographical-narrative,A3126
169,memoir-adaptation,M5631
170,somber-autobiographical-narrative,S5163
171,interviews-with-peers,I5361
172,historical-figure,H2362
173,first-hand-account,F6235
174,reflective-historical-figure,R1423
175,serious-first-hand-account,S6216
176,earnest-first-hand-account,E6523
177,reflective-personal-correspondence,R1423
178,behind-the-scenes,B5325
179,rise-to-fame,R2315
180,reflective-archival-footage,R1423
181,earnest-career-retrospective,E6523
182,defining-moment,D1552
183,earnest-personal-correspondence,E6523
184,chronological-timeline,C6542
185,struggle-for-recognition,S3624
186,family-lineage,F5445
187,serious-autobiographical-narrative,S6231
188,earnest-historical-figure,E6523
189,earnest-archival-footage,E6523
190,somber-historical-figure,S5162
191,reflective-first-hand-account,R1423
192,personal-correspondence,P6254
193,romantic-comedy,R5532
194,buddy-cop,B321
195,playful-buddy-cop,P4141
196,optimistic-buddy-cop,O1352
197,breezy-slapstick,B6224
198,family-reunion,F5465
199,ensemble-cast,E5251
200,mistaken-identity,M2325
201,playful-romantic-comedy,P4146
202,dating-disaster,D3523
203,improv,I5161
204,heist-comedy,H2325
205,sarcastic-buddy-cop,S6223
206,midlife-crisis,M3412
207,satire,S36
208,sarcastic-mockumentary,S6223
209,optimistic-romantic-comedy,O1352
210,parody,P63
211,sarcastic-slapstick,S6223
212,optimistic-slapstick,O1352
213,sarcastic-stand-up,S6223
214,sarcastic-satire,S6223
215,stand-up,S3531
216,optimistic-satire,O1352
217,screwball,S614
218,playful-slapstick,P4142
219,road-trip,R361
220,breezy-stand-up,B6223
221,optimistic-mockumentary,O1352
222,playful-satire,P4142
223,sarcastic-romantic-comedy,S6223
224,farce,F62
225,sketch-show,S322
226,optimistic-stand-up,O1352
227,mockumentary,M2553
228,playful-stand-up,P4142
229,black-comedy,B4253
230,breezy-romantic-comedy,B6265
231,wedding-chaos,W3522
232,breezy-satire,B6223
233,breezy-mockumentary,B6252
234,fish-out-of-water,F2313
235,breezy-buddy-cop,B6213
236,slapstick,S4123
237,playful-mockumentary,P4145
238,coming-of-age,C5521
239,workplace,W6214
240,college-life,C4241
241,menacing-undercover,M5252
242,cynical-heist,C5242
243,tense-mafia,T5251
244,somber-undercover,S5165
245,menacing-detective,M5252
246,forensics,F6522
247,tense-police-procedural,T5214
248,cynical-serial-killer,C5242
249,cyber-crime,C1626
250,cynical-police-procedural,C5241
251,prison-break,P6251
252,drug-cartel,D6263
253,tense-heist,T5223
254,somber-serial-killer,S5162
255,bounty-hunter,B5353
256,tense-undercover,T5253
257,heist,H23
258,detective,D3231
259,somber-police-procedural,S5161
260,gangster,G5236
261,sting-operation,S3521
262,somber-heist,S5162
263,menacing-police-procedural,M5252
264,tense-detective,T5233
265,interrogation,I5362
266,noir,N6
267,cynical-undercover,C5245
268,courtroom-drama,C6365
269,tense-serial-killer,T5226
270,white-collar-crime,W3246
271,menacing-mafia,M5252
272,serial-killer,S6424
273,somber-detective,S5163
274,cynical-mafia,C5245
275,mafia,M1
276,police-procedural,P4216
