id,movie_id,linked_movie_id,link_type_id
1,478,207,1
2,1059,674,1
3,1813,671,12
4,2610,603,1
5,3330,2187,9
6,3492,2714,3
7,3932,857,1
8,4865,3310,5
9,5056,4216,5
10,5636,207,3
11,5754,4552,5
12,6806,5395,5
13,7250,5117,3
14,9299,6325,12
15,9623,1517,5
16,9684,7729,5
17,9738,1081,9
18,10031,5170,9
19,10530,492,5
20,11477,4849,9
21,15363,10530,1
22,15670,5170,9
23,15890,12411,1
24,16034,15480,1
25,16278,8769,3
26,16378,1060,3
27,16481,6296,9
28,20926,18373,1
29,21750,7424,5
30,22070,10459,5
31,22180,2427,9
32,22682,1517,1
33,23087,17937,12
34,23873,3397,1
35,23905,19272,1
36,24209,23882,5
37,24989,5056,3
38,27179,22026,1
39,27389,11099,1
40,27909,22026,3
41,28191,806,1
42,28268,15959,9
43,28585,25300,1
44,28644,9401,12
45,31243,15294,5
46,31738,9786,9
47,32574,1548,9
48,33973,20904,3
49,34889,32380,1
50,34899,806,3
51,35037,24319,1
52,35594,24179,9
53,36538,32089,12
54,37344,25700,9
55,37560,13433,9
56,38269,33192,5
57,38758,5170,3
58,39517,4475,3
59,39622,9461,5
60,39969,5574,9
61,40082,9015,5
62,40855,17982,5
63,42856,29581,1
64,44984,7729,3
65,45886,5861,12
66,46872,46089,3
67,46992,712,12
68,48552,4539,5
69,55571,4473,5
70,56346,16438,9
71,56598,24209,9
72,57747,17593,3
73,58528,21943,1
74,58557,20696,9
75,60188,35832,3
76,60227,17043,9
77,60390,48465,1
78,61490,21637,3
79,61544,42856,1
80,61602,12794,5
81,61876,17268,3
82,62396,53228,3
83,66634,10061,9
84,67048,64093,9
85,67599,60998,5
86,69353,4552,5
87,69954,22682,1
88,70640,9841,3
89,71538,64852,5
90,71857,36037,9
91,75644,8080,5
92,75860,24011,1
93,78361,65150,1
94,79625,67568,1
95,81065,46992,9
96,81367,66799,5
97,83192,81735,5
98,85873,83660,12
99,87468,31000,3
100,87967,9823,3
101,88695,9401,5
102,89635,71463,9
103,90220,71700,5
104,90511,62193,5
105,92162,56541,1
106,92672,25307,12
107,92971,35860,3
108,94080,78033,12
109,96057,63090,1
110,98118,22180,5
111,99986,80516,1
112,2202,77376,12
113,3019,20325,5
114,3154,49277,3
115,5233,10459,1
116,7522,81919,1
117,8818,30243,5
