id,name,country_code,imdb_id,name_pcode_nf,name_pcode_sf,md5sum
1,Catalyst Works,[us],1,C3423,C3423,40e4005160c8c24d4f8c6cf221a22ea6
2,Shift Network,[kr],2,S13,S13,84d049dc856e8ac4c8c5938445798f9b
3,First Wave Films,[es],3,F6231,F6231,c90da83f918c1982051324f20c48a62c
4,Impact Works,[us],4,I5123,I5123,1d96f7927571225ce6fe16fb2b39ab2c
5,Flow Partners,[us],5,F4,F4,cee61d41000ff1085354bed4a33b3c8d
6,Silver Quest Collective,[jp],6,S4162,S4162,0a6f6c5a183ac78cfa154007cb7d27f2
7,Delta Flow,[us],7,D4314,D4314,4c9c52acf718dc9bd651375ec72ac307
8,Apex Sweep Works,[us],8,A121,A121,10a439fca6e1ef4d9d9541cece28f3ca
9,Stone Collective,[us],9,S35,S35,0b87a398a876a3c4da38f045f693d03b
10,Helios Group,[in],10,H42,H42,b1840020e3b79c672bf21a818b40ce6b
11,Global Media,[ca],11,G414,G414,42ecf92d625be8f2e0f558121fd184d4
12,Essence Dynamics,[fr],12,E2523,E2523,22943aff15b1d7af658b003661b18914
13,Northern Network,[mx],13,N6365,N6365,6f3b17c7f0ae1afa09643996cd0a2202
14,Mythos Pictures,[ca],14,M32,M32,96252d81c396ab9f5ef9354213d5a84b
15,Bold Pictures,[it],15,B43,B43,307c7e6997903c9a3cdc7882c5ab02f1
16,Flow Alliance,[us],16,F4452,F4452,828d598f762c97d085cff007f1ad1259
17,Bold Flash Media,[au],17,B4314,B4314,7fadf153010fe80812b7c140cec5d546
18,First Shift Labs,[de],18,F6232,F6232,d4decef8e1f62d117f8dcaf635650f7b
19,Oracle Creative,[gb],19,O6242,O6242,223adc79252b1f480ca524625b3e323d
20,Quest Entertainment,[kr],20,Q23,Q23,33061e6035f25736ee64636c60004033
21,Essence Partners,[ma],21,E252,E252,1d96b634452e9fc902bcda56a0c8ec34
22,Rise Ventures,[us],22,R2153,R2153,5e7227553231039068734635a81f1924
23,Glass Films,[ch],23,G42,G42,4d10f03d48e2c69336fb35d2b2f82698
24,Motion Creative,[au],24,M3526,M3526,97f1b96a20789266dec2eef6c59b0913
25,Coastal House,[us],25,C2342,C2342,c4044608869a6510b3d60b40ecae8a2e
26,Iron Current Media,[tw],26,I6526,I6526,11cce0d4172b3eca59ec389a66293098
27,Atlas Ventures,[ca],27,A3421,A3421,a1921a425b9d089633fd23b2d143b150
28,Silk Flow,[us],28,S4214,S4214,90b1231390187a3175ba7887686aa6a5
29,Zenith Collective,[us],29,Z53,Z53,4b78936b0910da78ca6fefbb6a9f473c
30,Silent Sprint Pictures,[cn],30,S4532,S4532,7514518b480487d7a810d08ae0e72e8c
31,Silent Horizon Ventures,[us],31,S4536,S4536,acb7c5dc47fc7f7ca2d761058082ab70
32,Valley Works,[in],32,V4,V4,d97b33f5fe814336563141d7b7d404fc
33,Rapid Collective,[mx],33,R13,R13,6ce1cff98b72d88487ff8ad284664301
34,Rapid Aura Productions,[jp],34,R136,R136,47f3297b137181f5e0cfe8ba3e08f0e1
35,Insight Pictures,[us],35,I5223,I5223,3a1ca5bf8230fadfce7136d280d284ce
36,High Spectrum Partners,[in],36,H2212,H2212,180c7028833a63414ad8c1f5214a5395
37,Bold Motion Productions,[jp],37,B4353,B4353,0a3abb9947f4aec28d4146e2aff3cff8
38,First Rise Collective,[us],38,F6236,F6236,bcbeddd0698b408222fa56da538df250
39,Neon Works,[us],39,N5,N5,2928afe45fbfeb39aef4cef786e855f4
40,Prime Origin Group,[us],40,P6562,P6562,82f30ba94b4a3bb8f02ae398c0f35365
41,Omni Impact Ventures,[kr],41,O5512,O5512,6243164b05d6b0a608ae8394e36429ca
42,Aura House,[es],42,A62,A62,55b95ca5c233dfd744a88b571d3f5b96
